2018-05-06 10:40:13.750579: {'loss': 1.1995338, 'avg': 1.52, 'accuracy': 0.37, 'spare': 0.37, 'var': -1, 'steps': 7300}
2018-05-06 10:40:14.134938: {'loss': 1.1859752, 'avg': 1.49, 'accuracy': 0.39, 'spare': 0.33999999999999997, 'var': -1, 'steps': 7400}
2018-05-06 10:40:14.535791: {'loss': 1.1746795, 'avg': 1.48, 'accuracy': 0.39, 'spare': 0.32999999999999996, 'var': -1, 'steps': 7500}
2018-05-06 10:40:14.916985: {'loss': 1.1652809, 'avg': 1.5, 'accuracy': 0.39, 'spare': 0.33999999999999997, 'var': -1, 'steps': 7600}
2018-05-06 10:40:15.336836: {'loss': 1.1578964, 'avg': 1.48, 'accuracy': 0.37, 'spare': 0.32999999999999996, 'var': -1, 'steps': 7700}
2018-05-06 10:40:15.724279: {'loss': 1.1503568, 'avg': 1.49, 'accuracy': 0.39, 'spare': 0.33999999999999997, 'var': -1, 'steps': 7800}
2018-05-06 10:40:16.112436: {'loss': 1.1438968, 'avg': 1.49, 'accuracy': 0.39, 'spare': 0.33999999999999997, 'var': -1, 'steps': 7900}
2018-05-06 10:40:16.517934: {'loss': 1.1384794, 'avg': 1.48, 'accuracy': 0.38, 'spare': 0.33999999999999997, 'var': -1, 'steps': 8000}
2018-05-06 10:40:16.918803: {'loss': 1.1337509, 'avg': 1.49, 'accuracy': 0.38, 'spare': 0.35, 'var': -1, 'steps': 8100}
2018-05-06 10:40:17.303556: {'loss': 1.1296761, 'avg': 1.51, 'accuracy': 0.36, 'spare': 0.36, 'var': -1, 'steps': 8200}
2018-05-06 10:40:17.680625: {'loss': 1.1262318, 'avg': 1.5, 'accuracy': 0.37, 'spare': 0.36, 'var': -1, 'steps': 8300}
2018-05-06 10:40:18.046619: {'loss': 1.1232743, 'avg': 1.49, 'accuracy': 0.38, 'spare': 0.35, 'var': -1, 'steps': 8400}
2018-05-06 10:40:18.409347: {'loss': 1.1208073, 'avg': 1.49, 'accuracy': 0.38, 'spare': 0.35, 'var': -1, 'steps': 8500}
2018-05-06 10:40:18.804386: {'loss': 1.1175157, 'avg': 1.5, 'accuracy': 0.36, 'spare': 0.36, 'var': -1, 'steps': 8600}
2018-05-06 10:40:19.227734: {'loss': 1.1136383, 'avg': 1.49, 'accuracy': 0.38, 'spare': 0.35, 'var': -1, 'steps': 8700}
2018-05-06 10:40:19.613915: {'loss': 1.1097926, 'avg': 1.48, 'accuracy': 0.37, 'spare': 0.35, 'var': -1, 'steps': 8800}
2018-05-06 10:40:19.997204: {'loss': 1.1061919, 'avg': 1.5, 'accuracy': 0.37, 'spare': 0.37, 'var': -1, 'steps': 8900}
2018-05-06 10:40:20.368081: {'loss': 1.1026496, 'avg': 1.5, 'accuracy': 0.37, 'spare': 0.37, 'var': -1, 'steps': 9000}
2018-05-06 10:40:20.756108: {'loss': 1.0993347, 'avg': 1.51, 'accuracy': 0.36, 'spare': 0.37, 'var': -1, 'steps': 9100}
2018-05-06 10:40:21.125839: {'loss': 1.0956935, 'avg': 1.5, 'accuracy': 0.37, 'spare': 0.37, 'var': -1, 'steps': 9200}
